$GPGGA,080000.00,2718.7162559,N,10342.5504581,E,1,8,8.8,2459.0633,M,10.306,M,,*5F
$GPGGA,080001.00,2718.7159678,N,10342.5507237,E,1,12,6.6,2459.0042,M,10.306,M,,*64
$GPGGA,080002.00,2718.7162508,N,10342.5507102,E,1,10,7.7,2458.9060,M,10.306,M,,*64
$GPGGA,080003.00,2718.9475256,N,10341.7585514,E,1,9,8.9,2159.7010,M,10.306,M,,*58
$GPGGA,080004.00,2718.9474619,N,10341.7585770,E,1,8,3.1,2159.7202,M,10.306,M,,*52
$GPGGA,080005.00,2718.9473715,N,10341.7587158,E,1,16,5.6,2159.9611,M,10.306,M,,*61
$GPGGA,080006.00,2719.3647610,N,10343.1840376,E,1,11,5.0,946.6829,M,10.306,M,,*5B
$GPGGA,080007.00,2719.3650240,N,10343.1838352,E,1,13,5.9,946.7354,M,10.306,M,,*5F
$GPGGA,080008.00,2719.3647877,N,10343.1840013,E,1,12,1.5,946.8535,M,10.306,M,,*56
$GPGGA,080009.00,2718.9276719,N,10341.7376200,E,1,11,2.1,1423.4004,M,10.306,M,,*67
$GPGGA,080010.00,2718.9274021,N,10341.7372305,E,1,9,7.0,1423.0073,M,10.306,M,,*58
$GPGGA,080011.00,2718.9278114,N,10341.7373194,E,1,9,5.7,1423.5533,M,10.306,M,,*58
$GPGGA,080012.00,2719.9583520,N,10341.7147247,E,1,12,2.9,1266.7673,M,10.306,M,,*63
$GPGGA,080013.00,2719.9587724,N,10341.7147270,E,1,15,5.3,1266.5190,M,10.306,M,,*66
$GPGGA,080014.00,2719.9585333,N,10341.7148881,E,1,16,5.9,1267.0183,M,10.306,M,,*65
$GPGGA,080015.00,2719.0053020,N,10343.6517577,E,1,9,4.7,918.5395,M,10.306,M,,*68
$GPGGA,080016.00,2719.0052657,N,10343.6516950,E,1,14,3.1,918.6032,M,10.306,M,,*54
$GPGGA,080017.00,2719.0053667,N,10343.6514319,E,1,16,5.1,918.2775,M,10.306,M,,*56
$GPGGA,080018.00,2718.9871164,N,10342.5029183,E,1,11,2.6,630.6086,M,10.306,M,,*58
$GPGGA,080019.00,2718.9876789,N,10342.5027011,E,1,11,9.6,630.9832,M,10.306,M,,*5C
$GPGGA,080020.00,2718.9873775,N,10342.5030571,E,1,10,1.0,631.3612,M,10.306,M,,*5D
$GPGGA,080021.00,2720.3995808,N,10342.2669230,E,1,8,4.6,2091.1402,M,10.306,M,,*5B
$GPGGA,080022.00,2720.3995505,N,10342.2673448,E,1,13,7.4,2091.7248,M,10.306,M,,*6F
$GPGGA,080023.00,2720.4000272,N,10342.2670586,E,1,9,5.3,2091.5805,M,10.306,M,,*54
$GPGGA,080024.00,2720.0633164,N,10341.4744719,E,1,14,7.9,1034.1722,M,10.306,M,,*64
$GPGGA,080025.00,2720.0633761,N,10341.4748126,E,1,10,2.5,1033.4760,M,10.306,M,,*69
